"Pāli1"	"POS"	"Grammar"	"Pāli Root"	"Pattern"	"count"	"found"
"vuccati"	"pr"	"pass"	"√vac 1 (say, speak)"	"ati pr"	"2195"	"{'vuccati': 2009, 'vuccanti': 169, 'vucceyya': 6, 'vuccate': 6, 'vuccare': 5}"
"yathā"	"ind"	"thā"	""	""	"2174"	"{'yathā': 2174}"
"tathāgata"	"masc"	"comp"	""	"a masc"	"2170"	"{'tathāgato': 1149, 'tathāgatassa': 452, 'tathāgataṃ': 192, 'tathāgatena': 186, 'tathāgate': 110, 'tathāgatā': 47, 'tathāgatānaṃ': 34}"
"purisa"	"masc"	""	""	"a masc"	"2155"	"{'puriso': 1260, 'purisassa': 282, 'purisaṃ': 244, 'purisa': 162, 'purisā': 87, 'purisena': 82, 'purise': 15, 'purisānaṃ': 10, 'purisehi': 7, 'purisesu': 5, 'purisasmiṃ': 1}"
"sabba"	"pron"	""	""	"a pron"	"2150"	"{'sabbaṃ': 760, 'sabbe': 677, 'sabbā': 117, 'sabbo': 88, 'sabbena': 76, 'sabbāni': 71, 'sabbesaṃ': 78, 'sabbesu': 42, 'sabbehi': 92, 'sabbassa': 27, 'sabbato': 12, 'sabbāya': 12, 'sabbamhi': 6, 'sabbasmiṃ': 5, 'sabbāsaṃ': 3, 'sabba': 80, 'sabbesānaṃ': 4}"
"deva"	"masc"	""	"√div 3 (shine)"	"a masc"	"2138"	"{'devā': 643, 'devānaṃ': 461, 'deva': 468, 'devo': 193, 'deve': 183, 'devesu': 69, 'devehi': 41, 'devena': 36, 'devassa': 26, 'devaṃ': 13, 'devato': 4, 'devamhi': 1}"
"sukha"	"adj"	""	"√sukh 1 (please, be comfortable)"	"a adj"	"2125"	"{'sukhaṃ': 1079, 'sukhāya': 396, 'sukhā': 248, 'sukhassa': 123, 'sukhena': 102, 'sukho': 43, 'sukhe': 34, 'sukhāni': 34, 'sukhato': 16, 'sukhānaṃ': 16, 'sukhasmiṃ': 11, 'sukha': 22, 'sukhamhi': 1}"
"sukha"	"nt"	""	"√sukh 1 (please, be comfortable)"	"a nt"	"2125"	"{'sukhaṃ': 1079, 'sukhāya': 396, 'sukhā': 248, 'sukhassa': 123, 'sukhena': 102, 'sukho': 43, 'sukhe': 34, 'sukhāni': 34, 'sukhato': 16, 'sukhānaṃ': 16, 'sukhasmiṃ': 11, 'sukha': 22, 'sukhamhi': 1}"
"gacchati"	"pr"	""	"√gam 1 (go)"	"ati pr"	"2118"	"{'gacchati': 814, 'gacchanti': 413, 'gaccha': 190, 'gaccheyya': 191, 'gacchāmi': 146, 'gacchāma': 84, 'gacchatha': 55, 'gacchantaṃ': 44, 'gacchasi': 26, 'gacche': 22, 'gaccheyyaṃ': 42, 'gacchatu': 14, 'gaccheyyuṃ': 16, 'gacchissanti': 11, 'gacchāhi': 9, 'gaccheyyāma': 8, 'gacchantu': 5, 'gacchissatha': 2, 'gacchissati': 2, 'gacchante': 2, 'gaccheyyāsi': 2, 'gacchemu': 2, 'gacchāmase': 2, 'gacchataṃ': 1, 'gacchassu': 1, 'gacchissaṃ': 1, 'gacchate': 8, 'gacchissāmi': 5}"
"upasaṅkamitvā"	"abs"	""	"√kam 1 (go)"	""	"2056"	"{'upasaṅkamitvā': 2056}"
"dvi"	"card"	""	""	"dvi card"	"2015"	"{'dve': 1343, 'dvinnaṃ': 348, 'dvīhi': 175, 'duve': 99, 'dvīsu': 42, 'duvinnaṃ': 2, 'duvesu': 1, 'dvi': 5}"
"rūpa"	"nt"	""	"√rūp 8 (form, produce)"	"a nt"	"2001"	"{'rūpaṃ': 792, 'rūpāni': 244, 'rūpā': 237, 'rūpe': 228, 'rūpānaṃ': 166, 'rūpassa': 130, 'rūpesu': 66, 'rūpasmiṃ': 59, 'rūpena': 34, 'rūpehi': 33, 'rūpamhā': 6, 'rūpasmā': 2, 'rūpato': 2, 'rūpa': 2}"
"puggala"	"masc"	""	""	"a masc"	"1980"	"{'puggalo': 1154, 'puggalaṃ': 242, 'puggalā': 239, 'puggalassa': 178, 'puggale': 58, 'puggalānaṃ': 49, 'puggalena': 38, 'puggalesu': 19, 'puggalehi': 3}"
"vutta"	"pp"	""	"√vap 1 (sow, shave)"	"a pp"	"1972"	"{'vuttaṃ': 784, 'vutte': 592, 'vuttā': 340, 'vutto': 243, 'vuttāni': 12, 'vuttānaṃ': 1}"
"maṃ"	"pron"	""	""	"ahaṃ pron"	"1919"	""
"santa"	"masc"	""	"√as 1 (be)"	"santa masc"	"1913"	"{'sato': 490, 'santo': 428, 'santaṃ': 296, 'sataṃ': 220, 'saṃ': 128, 'sante': 118, 'santā': 84, 'sabbhi': 34, 'satā': 25, 'santānaṃ': 10, 'santena': 8, 'santasmiṃ': 6, 'santesu': 4, 'santassa': 3, 'satānaṃ': 2, 'santamhi': 2, 'santa': 55}"
