bhāvanāpāripūriṃ	155
udake	154
ayyo	154
udāyī	154
nissaraṇañca	154
sotaṃ	154
ahosiṃ	154
ayameva	154
caramāno	153
aññā	153
adinnaṃ	153
itthannāmassa	153
paṇḍitā	153
saṅkhaṃ	153
karotha	152
attato	152
nesaṃ	151
seṭṭho	151
kassapo	151
kā	151
ṭhitā	151
cāhaṃ	151
suṇāti	151
bhuñjati	151
saññāya	151
pariyāyo	150
vivicceva	150
dhammañca	150
bhikkhussa	150
bhikkhuniṃ	150
dūre	150
khattiyo	150
vaṇṇavādī	150
ādīnavañca	150
bhāvitattā	150
sāyanhasamayaṃ	149
pāpakammaṃ	149
diṭṭhiyā	149
passeyya	149
kāmesumicchācārā	149
daṭṭhabbaṃ	149
vāpi	149
pathaviṃ	148
pāvisi	148
dhanaṃ	148
tepi	148
disā	148
santiṭṭhati	148
uppādāya	148
akusalehi	147
yathayidaṃ	147
nisinnā	147
ṭhānena	147
dasahi	147
pañcamo	147
somanassaṃ	147
jivhā	147
evaṃvādino	147
visuddhena	146
tadā	146
ahitāya	146
karohi	146
chasu	146
ākāsānañcāyatanaṃ	146
viññāṇañcāyatanaṃ	146
gāthaṃ	146
vipariṇāmadhammaṃ	146
yogo	146
visākhe	146
atikkantamānusakena	145
rasā	145
aññathā	144
kismiṃ	144
channaṃ	144
paccavekkhamāno	144
abhivaḍḍhanti	144
upapajjatīti	144
ariyā	143
gati	143
sikkhaṃ	143
ubhinnaṃ	143
brāhmaṇānaṃ	143
ākiñcaññāyatanaṃ	143
sambodhāya	143
chandarāgo	143
pajānātīti	143
āraddhavīriyo	143
patto	142
paṭijānāti	142
nirodhā	142
passāmīti	141
kassa	141
idametaṃ	141
sabrahmacārīnaṃ	141
vatthāni	140
appeva	140
idhāhaṃ	140
kantā	140
ñatvā	140
ārabhati	140
manussesu	140
kaccāna	140
senāsanaṃ	139
brūhi	139
āgaccheyya	139
bahussutā	139
catasso	139
iṭṭhā	139
sappuriso	139
rāgassa	138
saddaṃ	138
bhiyyobhāvāya	138
nava	138
pīti	138
tathāgatena	138
pajāya	137
ceto	137
bhikkhusaṅghaṃ	137
tameva	137
kālaṅkato	137
bojjhaṅgā	137
diṭṭhiṃ	137
samayo	137
sāriputtaṃ	137
vedeti	137
virāganissitaṃ	137
idheva	136
bhojanāni	136
abhāsi	136
kallaṃ	136
ariyasāvakassa	136
nirodhanissitaṃ	136
mātāpitaro	135
purisapuggalassa	135
samānā	135
agāravo	135
anuttaro	134
ariyānaṃ	134
gacchāmi	134
paricca	134
kālo	134
viññāpeti	134
bhikkhunīnaṃ	134
tuyhaṃ	134
kammassa	134
uddisantu	134
upādānaṃ	134
vihareyyanti	134
uppādo	134
vossaggapariṇāmiṃ	134
brūmi	134
vadanti	133
buddhaṃ	133
itthannāmaṃ	133
kumāro	133
devaputto	133
pariññāya	133
bhikkhusaṅghena	132
upāsakaṃ	132
vesāliyaṃ	132
tatonidānaṃ	132
pārājikaṃ	132
sāratto	132
upāsikā	132
cāyaṃ	132
tañce	132
saddhāya	132
sattahi	132
tatthetaṃ	132
arahatā	131
dhammiṃ	131
uppajjeyya	131
upāsakā	131
anicco	131
abhavissa	131
nevasaññānāsaññāyatanaṃ	131
tāyaṃ	131
pahīnaṃ	131
devānaminda	131
sevato	131
pāṭikaṅkhaṃ	131
pāsaṃso	131
naro	131
ekena	130
diṭṭho	130
ajjhabhāsi	130
sadā	130
paccattaṃ	130
samudayañca	130
atthaṅgamañca	130
nirujjhanti	130
rūpassa	130
vepullaṃ	130
paccassosi	129
uddhaṃ	129
tīhākārehi	129
ajjhāvasati	129
kāci	129
cakkavattī	129
ākaṅkhati	129
parassa	129
puññakkhettaṃ	129
esohamasmi	129
dhāretu	128
ārocesi	128
ahosīti	128
sammāsambuddhena	128
teneva	128
saṅghena	128
saṃ	128
sampajānakārī	128
karaṇīyo	128
arahataṃ	127
paribhuñjati	127
sopi	127
bhāvito	127
vinidhāya	127
sāvako	127
phassaṃ	127
hīnaṃ	127
samādhiyati	127
pāpima	127
paññavā	127
namo	126
mahatā	126
cuto	126
ājānāmi	126
bhagini	126
kappeti	126
assu	126
pisuṇāya	126
upapajjanti	126
pāmojjaṃ	126
khomhi	126
ṭhapetvā	125
katamesaṃ	125
senāsanāni	125
udānesi	125
pahīyati	125
sāriputtassa	124
bhojanīyaṃ	124
nibbānāya	124
nadī	124
indriyāni	124
kasmā	124
kulaputto	124
uttariṃ	124
pharusāya	124
sacchikiriyāya	124
kulaputtā	124
evaṃdiṭṭhino	124
imesu	124
vane	124
jaññā	124
gārayho	124
pāṇupetaṃ	123
sarīraṃ	123
kena	123
antaraghare	123
āha	123
gāthāya	123
